Date,Completed Items,Image Name,Image Type,Source,Replies,Time
2023-11-10,169.0,10c.png,Comments,twitter Ufone,,
2023-11-02,,10r.png,Replies,twitter Upaisa,1.0,6.0
2023-11-01,3.0,11c.png,Comments,twitter Upaisa,,
2023-11-02,,11r.png,Replies,facebook Ufone,1037.0,27.0
2023-11-02,10.0,12c.png,Comments,twitter Upaisa,,
2023-11-02,,12r.png,Replies,facebook Corporate,,
2023-11-03,0.0,13c.png,Comments,twitter Upaisa,,
2023-11-02,,13r.png,Replies,facebook Upaisa,95.0,14.0
2023-11-04,6.0,14c.png,Comments,twitter Upaisa,,
2023-11-02,,14r.png,Replies,instagram Ufone,45.0,25.0
2023-11-05,22.0,15c.png,Comments,twitter Upaisa,,
2023-11-02,,15r.png,Replies,instagram Upaisa,3.0,19.0
2023-11-06,3.0,16c.png,Comments,twitter Upaisa,,
2023-11-02,,16r.png,Replies,linkedin Ufone,2.0,65.0
2023-11-07,1.0,17c.png,Comments,twitter Upaisa,,
2023-11-03,,17r.png,Replies,twitter Ufone,90.0,101.0
2023-11-08,4.0,18c.png,Comments,twitter Upaisa,,
2023-11-03,,18r.png,Replies,twitter Upaisa,,
2023-11-09,3.0,19c.png,Comments,twitter Upaisa,,
2023-11-03,,19r.png,Replies,facebook Ufone,1007.0,8.0
2023-11-01,228.0,1c.png,Comments,twitter Ufone,,
2023-11-01,,1r.png,Replies,twitter Ufone,111.0,110.0
2023-11-10,1.0,20c.png,Comments,twitter Upaisa,,
2023-11-03,,20r.png,Replies,facebook Corporate,10.0,9.0
2023-11-01,1509.0,21c.png,Comments,facebook Ufone,,
2023-11-03,,21r.png,Replies,facebook Upaisa,7.0,7.0
2023-11-02,1670.0,22c.png,Comments,facebook Ufone,,
2023-11-03,,22r.png,Replies,instagram Ufone,35.0,7.0
2023-11-03,1803.0,23c.png,Comments,facebook Ufone,,
2023-11-03,,23r.png,Replies,instagram Upaisa,4.0,13.0
2023-11-04,1736.0,24c.png,Comments,facebook Ufone,,
2023-11-03,,24r.png,Replies,linkedin Ufone,2.0,29.0
2023-11-05,1362.0,25c.png,Comments,facebook Ufone,,
2023-11-04,,25r.png,Replies,twitter Ufone,178.0,42.0
2023-11-06,1751.0,26c.png,Comments,facebook Ufone,,
2023-11-04,,26r.png,Replies,twitter Upaisa,3.0,16.0
2023-11-07,1502.0,27c.png,Comments,facebook Ufone,,
2023-11-04,,27r.png,Replies,facebook Ufone,864.0,6.0
2023-11-08,1531.0,28c.png,Comments,facebook Ufone,,
2023-11-04,,28r.png,Replies,facebook Corporate,,
2023-11-09,1520.0,29c.png,Comments,facebook Ufone,,
2023-11-04,,29r.png,Replies,facebook Upaisa,48.0,7.0
2023-11-02,174.0,2c.png,Comments,twitter Ufone,,
2023-11-01,,2r.png,Replies,twitter Upaisa,1.0,8.0
2023-11-10,1276.0,30c.png,Comments,facebook Ufone,,
2023-11-04,,30r.png,Replies,instagram Ufone,82.0,6.0
2023-11-01,20.0,31c.png,Comments,facebook Corporate,,
