Date,facebook Corporate Comments,facebook Corporate Replies,facebook Corporate Time,facebook Ufone Comments,facebook Ufone Replies,facebook Ufone Time,facebook Upaisa Comments,facebook Upaisa Replies,facebook Upaisa Time,instagram Ufone Comments,instagram Ufone Replies,instagram Ufone Time,instagram Upaisa Comments,instagram Upaisa Replies,instagram Upaisa Time,linkedin Ufone Comments,linkedin Ufone Replies,linkedin Ufone Time,twitter Ufone Comments,twitter Ufone Replies,twitter Ufone Time,twitter Upaisa Comments,twitter Upaisa Replies,twitter Upaisa Time
2023-11-01,20.0,12.0,3.0,1509.0,837.0,5.0,181.0,119.0,3.0,120.0,40.0,6.0,19.0,11.0,4.0,7.0,0.0,0.0,228.0,111.0,110.0,3.0,1.0,8.0
2023-11-02,0.0,0.0,0.0,1670.0,1037.0,27.0,170.0,95.0,14.0,149.0,45.0,25.0,6.0,3.0,19.0,0.0,2.0,65.0,174.0,78.0,100.0,10.0,1.0,6.0
2023-11-03,16.0,10.0,9.0,1803.0,1007.0,8.0,18.0,7.0,7.0,135.0,35.0,7.0,8.0,4.0,13.0,3.0,2.0,29.0,208.0,90.0,101.0,0.0,0.0,0.0
2023-11-04,0.0,0.0,0.0,1736.0,864.0,6.0,89.0,48.0,7.0,250.0,82.0,6.0,0.0,0.0,0.0,6.0,3.0,12.0,362.0,178.0,42.0,6.0,3.0,16.0
2023-11-05,24.0,9.0,3.0,1362.0,784.0,4.0,0.0,75.0,4.0,165.0,29.0,4.0,5.0,3.0,2.0,7.0,1.0,5.0,227.0,174.0,290.0,22.0,3.0,4.0
2023-11-06,4.0,9.0,10.0,1751.0,940.0,8.0,122.0,76.0,9.0,134.0,42.0,8.0,24.0,10.0,6.0,0.0,0.0,0.0,215.0,110.0,45.0,3.0,3.0,244.0
2023-11-07,9.0,5.0,3.0,1502.0,837.0,5.0,82.0,50.0,5.0,131.0,38.0,7.0,0.0,0.0,0.0,2.0,1.0,9.0,161.0,83.0,63.0,1.0,1.0,6.0
2023-11-08,27.0,20.0,3.0,1531.0,864.0,7.0,144.0,89.0,5.0,177.0,67.0,8.0,5.0,3.0,11.0,5.0,1.0,6.0,167.0,90.0,125.0,4.0,2.0,3.0
2023-11-09,19.0,13.0,5.0,1520.0,855.0,4.0,104.0,55.0,4.0,134.0,44.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,247.0,106.0,59.0,3.0,3.0,6.0
2023-11-10,16.0,10.0,3.0,1276.0,726.0,5.0,0.0,68.0,5.0,127.0,48.0,5.0,5.0,3.0,10.0,6.0,0.0,0.0,169.0,99.0,75.0,1.0,0.0,0.0
